doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
02b07905-fc8e-5aae-a233-741242b2f0ab+1,event-31,patient,ss-4,a 24-year-old man,یک مرد ۲۴ ساله,,[],0,0,0,0,"[20, 22]"
02b07905-fc8e-5aae-a233-741242b2f0ab+9,event-14,patient,ss-3,the defendant,متهمان,,[],0,0,0,0,"[29, 30]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,anchor,ss-50,control,,بازپس گیری,"['بازپس', 'گیری']",2,3,11,21,"[5, 5]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,patient,ss-21,which,,که,['که'],9,9,45,47,"[9, 9]"
02cacfd9-7d50-59ac-beb6-d9750e03a574+13,event-23,agent,ss-11,the ex-Soviet republic,,جمهوری سابق شوروی,"['جمهوری', 'سابق', 'شوروی']",36,38,152,169,"[13, 15]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+15,event-14,patient,ss-23,South Korean sightseers,تماشاگران کره جنوبی,,[],0,0,0,0,"[4, 6]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+2,event-17,anchor,ss-55,bomb,بمب‌ها,,[],0,0,0,0,"[1, 1]"
1388473e-8170-50b9-8361-8aeb3c6e6523+2,event-16,patient,ss-5,churches,,کلیساها,['کلیساها'],34,34,150,157,"[33, 33]"
1388473e-8170-50b9-8361-8aeb3c6e6523+3,event-3,agent,ss-12,its,وزارت اروپا و امور خارجه فرانسه,,[],0,0,0,0,"[27, 27]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-10,agent,ss-12,it,وزارت امور خارجه فرانسه,,[],0,0,0,0,"[6, 6]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-34,patient,ss-2,religious minorities,,اقلیت های مذهبی,"['اقلیت', 'های', 'مذهبی']",44,46,214,229,"[52, 53]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,anchor,ss-52,bail,تعیین,,[],0,0,0,0,"[6, 6]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
1c43e469-a33c-5d19-983b-e1a06868092d+10,event-34,patient,ss-19,16 others,,۱۶ نفر دیگر,"['۱۶', 'نفر', 'دیگر']",30,32,123,134,"[31, 32]"
1c43e469-a33c-5d19-983b-e1a06868092d+5,event-32,patient,ss-6,15,,۱۵ نفر,"['۱۵', 'نفر']",10,11,42,48,"[12, 12]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+0,event-17,anchor,ss-28,resumes,سر,از سر می گیرد,"['از', 'سر', 'می', 'گیرد']",9,12,45,58,"[2, 2]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+1,event-12,patient,ss-3,the country ’ s 120 doctors,پزشک کشور است که در طول شیوع بیماری فوت کرده‌است .,,[],0,0,0,0,"[6, 11]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,anchor,ss-29,die,دست,جان خود را از دست داده است,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'است']",13,19,63,89,"[14, 14]"
297c8019-b2d4-5b5a-b583-d1fab158e907+10,event-16,agent,ss-7,it,دولت مکزیک,,[],0,0,0,0,"[4, 4]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+0,event-9,anchor,ss-23,corruption,فساد نتانیاهو شد .,فساد,['فساد'],7,7,38,42,"[6, 6]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+4,event-6,patient,ss-14,his,آقای عثمان,,[],0,0,0,0,"[15, 15]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+5,event-8,anchor,ss-24,articles,کمک,نشریات,['نشریات'],4,4,16,22,"[2, 2]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+7,event-10,anchor,ss-26,mocking,مقالات,,[],0,0,0,0,"[8, 8]"
2d037849-5f69-5973-a022-8398433d5a82+5,event-2,agent,ss-7,the university,دانشگاه را تنها در صورتی ترک خواهند کرد که دانشگاه,دانشگاه,['دانشگاه'],14,14,63,70,"[8, 9]"
2dbcd20a-372d-5041-9649-c4e906509bbe+12,event-30,anchor,ss-44,hand over the case,پرونده را پس از یک اعتراض عمومی به کمیسیون ضد فساد تحویل,پرونده را تحویل دهد,"['پرونده', 'را', 'تحویل', 'دهد']",16,28,74,134,"[12, 15]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+0,event-5,anchor,ss-24,claims,می‌رساند,,[],0,0,0,0,"[2, 2]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+0,event-5,patient,ss-2,25 lives,۲۵ نفر را در ایالت میناس گرایس برزیل به قتل,۲۵ نفر,"['۲۵', 'نفر']",2,3,7,13,"[3, 4]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+6,event-16,patient,ss-9,botanical garden,باغ وحش,,[],0,0,0,0,"[15, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+10,event-4,agent,ss-14,Sudan &apos;s umbrella protest movement,جنبش اعتراضی چتر سودان,,[],0,0,0,0,"[1, 5]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+4,event-28,patient,ss-5,6.9 million euros,۷ ٫ ۷ میلیون یورو,,[],0,0,0,0,"[14, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+7,event-15,patient,ss-12,2.5 million,,۲ ٫ ۵ میلیون نفر,"['۲', '٫', '۵', 'میلیون', 'نفر']",32,36,136,152,"[29, 30]"
36a4a758-690c-5862-88ba-d290aa108569+0,event-14,agent,ss-3,dead people,,مرده ها,"['مرده', 'ها']",10,11,51,58,"[6, 7]"
370dc6fd-6397-523b-8d75-393a5500d4a5+3,event-9,patient,ss-4,Vinson &apos;s bridesmaids,عروس‌های وینسون,,[],0,0,0,0,"[4, 6]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+0,event-1,patient,ss-1,Six immigration officers,شش افسر مهاجر در کوچینگ به رشوه خواری محکوم شدند .,شش افسر مهاجر,"['شش', 'افسر', 'مهاجر']",0,2,0,13,"[0, 2]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+12,event-25,agent,ss-27,MACC,خود,,[],0,0,0,0,"[10, 10]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+5,event-5,agent,ss-4,someone,,آن ها,"['آن', 'ها']",30,31,135,140,"[32, 32]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+6,event-21,agent,ss-5,The Malaysian Anti-Corruption Commission ( MACC ) prosecution team,,کمیسیون مبارزه با فساد مالی مالزی ( MAC ),"['کمیسیون', 'مبارزه', 'با', 'فساد', 'مالی', 'مالزی', '(', 'MAC', ')']",0,8,0,41,"[0, 8]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+3,event-5,anchor,ss-24,showed,اعلام,,[],0,0,0,0,"[24, 24]"
3a0d211a-4c05-583b-8acd-2180d21e672e+1,event-1,patient,ss-15,President Hosni Mubarak,حسنی مبارک برای کناره‌گیری رئیس‌جمهور,,[],0,0,0,0,"[31, 33]"
3a0d211a-4c05-583b-8acd-2180d21e672e+6,event-4,patient,ss-15,Mubarak,,مبارک,['مبارک'],23,23,107,112,"[22, 22]"
3a0d211a-4c05-583b-8acd-2180d21e672e+6,event-7,agent,ss-22,Courtney Radsch,کلیر رادش,,[],0,0,0,0,"[27, 28]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+0,event-12,agent,ss-3,a pro-democracy movement,,جنبش طرفدار دموکراسی,"['جنبش', 'طرفدار', 'دموکراسی']",8,10,36,56,"[9, 11]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+12,event-33,patient,ss-16,Navalny,نیروی دریایی,,[],0,0,0,0,"[0, 0]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+3,event-1,anchor,ss-18,leave politics,انتخابات,,[],0,0,0,0,"[31, 32]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+1,event-29,patient,ss-1,the eventual winner,,برنده نهایی,"['برنده', 'نهایی']",14,15,63,74,"[19, 21]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+4,event-33,agent,ss-8,she,,او,['او'],10,10,37,39,"[7, 7]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+9,event-13,agent,ss-18,Binyamin ( Bibi ) Netanyahu,,بنیامین نتانیاهو,"['بنیامین', 'نتانیاهو']",0,1,0,16,"[0, 4]"
44cdb100-1394-5921-8a1e-94c61161cbd4+0,event-16,anchor,ss-32,embezzling,سرقت پول ابولا محکوم شد .,سرقت,['سرقت'],7,7,42,46,"[7, 7]"
44cdb100-1394-5921-8a1e-94c61161cbd4+1,event-17,agent,ss-12,his,,او,['او'],11,11,58,60,"[11, 11]"
4cda4fb8-11e4-5305-8d05-5791878911ab+2,event-1,agent,ss-9,a political cartoonist,,کارتونیست سیاسی,"['کارتونیست', 'سیاسی']",3,4,12,27,"[5, 7]"
529e5ee4-54cf-5060-8500-eaef95aa21c7+5,event-25,anchor,ss-40,demolition,بازسازی,تخریب,['تخریب'],27,27,110,115,"[28, 28]"
529e5ee4-54cf-5060-8500-eaef95aa21c7+5,event-26,anchor,ss-41,reconstruction,تخریب,بازسازی,['بازسازی'],25,25,100,107,"[30, 30]"
532cdbf5-856b-5151-b9d9-e50f52271ed4+8,event-36,patient,ss-14,"more than 2,000",,بیش از ۲۰۰۰ نفر,"['بیش', 'از', '۲۰۰۰', 'نفر']",20,23,92,107,"[22, 24]"
5541ebba-e256-5ca1-ad39-91a97435aed7+0,event-1,agent,ss-3,The Burkinabe,بلغارستان,,[],0,0,0,0,"[0, 1]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,patient,ss-10,He,,او,['او'],0,0,0,2,"[0, 0]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,anchor,ss-24,sentence,,محکوم شد,"['محکوم', 'شد']",30,31,112,120,"[6, 6]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+8,event-3,agent,ss-10,Mr Navalny,آقای نیروی دریایی,,[],0,0,0,0,"[0, 1]"
597a893d-1812-5124-b15c-45868b553f76+20,event-43,anchor,ss-112,overtaken,,خواهند مرد,"['خواهند', 'مرد']",32,33,157,167,"[32, 32]"
597a893d-1812-5124-b15c-45868b553f76+26,event-85,anchor,ss-154,threw rocks,کرده‌اند,,[],0,0,0,0,"[30, 31]"
671ce466-dc1b-5d38-ab64-b046caea1bfe+6,event-20,patient,ss-8,The latest victim,یکی از سخنگویان به نام کلی یاکوبک ، آخرین قربانی,آخرین قربانی,"['آخرین', 'قربانی']",8,9,36,48,"[0, 2]"
671ce466-dc1b-5d38-ab64-b046caea1bfe+6,event-7,agent,ss-22,spokeswoman Kelly Jakubek,,یکی از سخنگویان به نام کلی یاکوبک,"['یکی', 'از', 'سخنگویان', 'به', 'نام', 'کلی', 'یاکوبک']",0,6,0,33,"[25, 27]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+6,event-35,patient,ss-13,His one-time finance director Dennis Lomas,,مدیر مالی سابق او ، دنیس لوئیس,"['مدیر', 'مالی', 'سابق', 'او', '،', 'دنیس', 'لوئیس']",0,6,0,30,"[0, 5]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+9,event-24,anchor,ss-38,dishonesty,خیانت,عدم صداقت,"['عدم', 'صداقت']",12,13,53,62,"[33, 33]"
73235880-7f21-5967-ac6e-3dd58b843d26+4,event-15,patient,ss-5,more than 800,,بیش از ۸۰۰,"['بیش', 'از', '۸۰۰']",11,13,42,52,"[9, 11]"
782d694c-9d7d-54ed-b269-b5fb52e74d18+16,event-11,agent,ss-3,a group of young people,,گروهی از جوانان,"['گروهی', 'از', 'جوانان']",6,8,21,36,"[7, 11]"
7b4cfd1f-9f1f-5904-bf93-20b3deec2ef8+0,event-11,patient,ss-1,preschools,مهد,مهد کودک ها,"['مهد', 'کودک', 'ها']",4,6,22,33,"[3, 3]"
864dc540-ef75-56eb-807e-948ae4d35162+1,event-17,agent,ss-16,Israel,اسرائیلی که در این هفته مشغول فعالیت بوده ، اسرائیل,اسرائیل,['اسرائیل'],14,14,66,73,"[0, 0]"
864dc540-ef75-56eb-807e-948ae4d35162+8,event-14,anchor,ss-35,protest,اردوگاه,,[],0,0,0,0,"[21, 21]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+5,event-19,anchor,ss-36,quarantine,کرده‌است,,[],0,0,0,0,"[25, 25]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+7,event-1,anchor,ss-18,checking temperatures,دمای تمام مسافران را قبل از سوار شدن کنترل,کنترل می کنند,"['کنترل', 'می', 'کنند']",31,33,141,154,"[21, 22]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,agent,ss-16,China Airlines,,خطوط هوایی چین,"['خطوط', 'هوایی', 'چین']",0,2,0,14,"[0, 1]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,patient,ss-12,all passengers,,همه مسافران,"['همه', 'مسافران']",6,7,28,39,"[4, 5]"
8f89a335-8cfd-59ce-89f8-3a5269dd2c9d+8,event-22,anchor,ss-39,wear face masks,,ماسک های صورت,"['ماسک', 'های', 'صورت']",9,11,45,58,"[9, 11]"
97bd1bd4-8a41-51e4-9130-d9b20977a37e+9,event-22,anchor,ss-40,falling support,حمایت از طلوع طلایی قبل از دور جدید انتخابات در ۱۷ ژوئن کاهش,کاهش یافته است,"['کاهش', 'یافته', 'است']",19,21,90,104,"[4, 5]"
98749ded-9acd-55cb-9bd0-df082f20fee5+0,event-8,patient,ss-1,29,,۲۹,['۲۹'],10,10,47,49,"[10, 10]"
98749ded-9acd-55cb-9bd0-df082f20fee5+1,event-9,patient,ss-2,she,دمنیا امیر,,[],0,0,0,0,"[10, 10]"
98749ded-9acd-55cb-9bd0-df082f20fee5+2,event-5,patient,ss-1,29,,۲۹,['۲۹'],17,17,77,79,"[17, 17]"
98749ded-9acd-55cb-9bd0-df082f20fee5+4,event-17,anchor,ss-30,set off explosives,منفجره را در بخش زنان کلیسای سنت پیتر و سنت پل در قاهره بلافاصله منفجر کرد,مواد منفجره,"['مواد', 'منفجره']",21,22,91,102,"[16, 18]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-6,anchor,ss-30,downplay,بی‌اهمیت,,[],0,0,0,0,"[25, 25]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+5,event-22,anchor,ss-46,detentions,بازداشت‌های,,[],0,0,0,0,"[36, 36]"
9ca065ad-c8eb-53b6-a8b3-aea777c53d90+8,event-16,patient,ss-24,many,,خیلی ها,"['خیلی', 'ها']",7,8,31,38,"[27, 27]"
9e8e7689-0470-590f-aa95-5db2e90310d5+1,event-1,anchor,ss-23,called for,خواستار تظاهرات روزانه شدند,خواستار,['خواستار'],17,17,69,76,"[3, 4]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+2,event-1,agent,ss-1,Those,,کسانی,['کسانی'],0,0,0,5,"[0, 0]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+2,event-28,anchor,ss-42,held,,هستند,['هستند'],23,23,105,110,"[1, 1]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-11,agent,ss-8,some of those,,برخی از,"['برخی', 'از']",18,19,86,93,"[10, 12]"
a24c79a6-e169-5ed0-8ea5-d5eaa677969b+7,event-21,anchor,ss-35,prosecutions,پرونده‌های,,[],0,0,0,0,"[34, 34]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+2,event-6,patient,ss-4,78,,۷۸,['۷۸'],17,17,79,81,"[11, 11]"
a482a16c-47cc-5625-ae6e-a6b0718bd098+2,event-6,anchor,ss-19,died,دست,جان خود را از دست داده اند,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'اند']",19,25,86,112,"[13, 13]"
a597d736-3015-53d9-a47d-09ab5187edcc+4,event-16,patient,ss-19,her,یئونگ‌ولک,,[],0,0,0,0,"[15, 15]"
a813a8fa-2efc-5b7d-ac94-4b73fc9b71a3+3,event-30,patient,ss-7,all three,,هر سه نفر,"['هر', 'سه', 'نفر']",3,5,12,21,"[3, 4]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+1,event-32,anchor,ss-89,barred entry,ورود مسافران کویت و بحرین به دلیل گسترش ویروس جدید کرونا را ممنوع,ممنوع کرد,"['ممنوع', 'کرد']",23,24,111,120,"[7, 8]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+1,event-33,anchor,ss-90,prohibiting travel,سفر به آن‌ها ممنوع,ممنوع شد,"['ممنوع', 'شد']",36,37,161,169,"[24, 25]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,agent,ss-33,Health Minister Jaafar Allawi,,وزیر بهداشت جعفر آلوی,"['وزیر', 'بهداشت', 'جعفر', 'آلوی']",0,3,0,21,"[0, 3]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,patient,ss-7,Iraqi citizens,,شهروندان عراقی,"['شهروندان', 'عراقی']",9,10,44,58,"[9, 10]"
a9ddc7fe-a59b-5b65-a188-3a6e8cada5d6+2,event-34,anchor,ss-91,not allowed to travel,,اجازه ندارند,"['اجازه', 'ندارند']",11,12,59,71,"[13, 16]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+4,event-12,agent,ss-2,They,,آن ها,"['آن', 'ها']",0,1,0,5,"[0, 0]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+4,event-12,anchor,ss-30,called,,خواستار,['خواستار'],2,2,6,13,"[1, 1]"
ab221507-2e5e-5eff-b8c5-3ed5d3c3c71f+6,event-30,anchor,ss-48,fired,کرد,,[],0,0,0,0,"[10, 10]"
acbd122b-bfed-5ee7-b810-128fd817a951+10,event-24,patient,ss-10,the prison service,,زندان,['زندان'],28,28,118,123,"[17, 19]"
acbd122b-bfed-5ee7-b810-128fd817a951+2,event-22,agent,ss-3,many on high,,بسیاری از افراد در سطوح بالا,"['بسیاری', 'از', 'افراد', 'در', 'سطوح', 'بالا']",6,11,26,54,"[7, 9]"
acbd122b-bfed-5ee7-b810-128fd817a951+4,event-26,patient,ss-1,the 14,,۱۴ نفر,"['۱۴', 'نفر']",3,4,12,18,"[1, 2]"
bb3db4ea-c13d-5bda-9354-8e5024966d00+2,event-10,patient,ss-1,The 17-year-old,,این کودک ۱۷ ساله,"['این', 'کودک', '۱۷', 'ساله']",0,3,0,16,"[0, 1]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+2,event-47,patient,ss-3,hundreds more,,صدها نفر دیگر,"['صدها', 'نفر', 'دیگر']",17,19,67,80,"[18, 19]"
bca478b9-c71b-5026-b974-d05a13ac4e4c+8,event-18,agent,ss-10,thousands,,هزاران نفر,"['هزاران', 'نفر']",6,7,32,42,"[4, 4]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+2,event-22,patient,ss-6,10,,ده,['ده'],23,23,121,123,"[23, 23]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+3,event-3,agent,ss-24,Nwaogbo,او,,[],0,0,0,0,"[21, 21]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+3,event-3,anchor,ss-29,said,گفت,,[],0,0,0,0,"[2, 2]"
bcbaa297-a22c-547c-9261-5fbbd7efd90a+4,event-5,anchor,ss-31,claimed responsibility,مسئولیت بمب‌گذاری در ۱۶ ژوئن در مقر پلیس ملی را بر عهده گرفت,بر عهده گرفت,"['بر', 'عهده', 'گرفت']",17,19,81,93,"[2, 3]"
be26c9e5-b25d-5691-80a0-1d0880396ac5+6,event-16,agent,ss-4,Demonstrators,,تظاهرکنندگان,['تظاهرکنندگان'],5,5,20,32,"[5, 5]"
bf31597a-b1d1-5497-bea9-080f5dbe1496+11,event-22,agent,ss-14,It,,این,['این'],0,0,0,3,"[0, 0]"
bf31597a-b1d1-5497-bea9-080f5dbe1496+11,event-22,anchor,ss-37,home,,قرار دارد,"['قرار', 'دارد']",7,8,40,49,"[2, 2]"
bfed8552-b1ed-504f-9b16-9a0a6141b70a+4,event-14,patient,ss-1,her,,خود,['خود'],31,31,134,137,"[24, 24]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+1,event-11,patient,ss-28,moderate elected president Mohamed Mursi,,محمد مورسی رئیس جمهور منتخب میانه رو,"['محمد', 'مورسی', 'رئیس', 'جمهور', 'منتخب', 'میانه', 'رو']",11,17,51,87,"[16, 20]"
c1a951c5-c2c8-5a10-b03d-e9751ec98631+3,event-27,patient,ss-2,The two wounded policemen,,دو پلیس زخمی,"['دو', 'پلیس', 'زخمی']",0,2,0,12,"[0, 3]"
c252eb69-7f9d-513e-aeb8-320f03b14a88+2,event-22,patient,ss-1,the &quot; D.C. Five,پنج,,[],0,0,0,0,"[4, 7]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+2,event-16,patient,ss-2,humans,انسان‌ها,,[],0,0,0,0,"[15, 15]"
c5cf1e61-f2cd-5ae7-829d-c85109b144ea+8,event-21,patient,ss-8,15 kampung chickens,,۱۵ مرغ کامانگ پونگ,"['۱۵', 'مرغ', 'کامانگ', 'پونگ']",23,26,110,128,"[22, 24]"
cd9e8a49-d3f4-51c7-b4c2-2703767c9add+4,event-9,agent,ss-10,his,القیاف,برادرانش,['برادرانش'],5,5,22,30,"[7, 7]"
d1543b86-f4f6-56d4-a5af-e22732906daf+5,event-12,patient,ss-11,Wade,,وید,['وید'],8,8,39,42,"[12, 12]"
dc12c567-099f-5a6d-96e6-7c5563458455+7,event-30,patient,ss-8,"some 1,330 more",,حدود ۱ ٬ ۳۳۰ نفر دیگر,"['حدود', '۱', '٬', '۳۳۰', 'نفر', 'دیگر']",18,23,92,113,"[20, 22]"
dd50b550-05e1-5989-99ce-13af7e000084+1,event-12,agent,ss-1,their,دولت شورشی تشنه به پول لیبی,پیشرویشان,['پیشرویشان'],12,12,54,63,"[13, 13]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,agent,ss-11,Indian yoga guru,,راهب هندی یوگای هندی,"['راهب', 'هندی', 'یوگای', 'هندی']",0,3,0,20,"[0, 2]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-12,anchor,ss-28,fast,,روزه,['روزه'],6,6,28,32,"[5, 5]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+0,event-17,anchor,ss-33,corruption,فساد را تعطیل کرد .,فساد,['فساد'],8,8,38,42,"[7, 7]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+2,event-14,anchor,ss-30,fast,اعتصاب,روزه,['روزه'],30,30,139,143,"[4, 4]"
e5a497bd-7a34-5e7c-910d-8fab2c0cd3bb+6,event-15,agent,ss-11,his,,اش,['اش'],11,11,53,55,"[8, 8]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+1,event-2,patient,ss-1,his,آل کسی اولویکاوف,وزارتش,['وزارتش'],8,8,38,44,"[10, 10]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-30,patient,ss-1,his,اولیاکایف,وزیرش,['وزیرش'],5,5,27,32,"[11, 11]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-9,agent,ss-13,state-owned oil giant Rosneft,,شرکت بزرگ نفتی روسی باچانف,"['شرکت', 'بزرگ', 'نفتی', 'روسی', 'باچانف']",12,16,64,90,"[20, 23]"
e9558c3b-932c-5c87-85ac-db9f6582c47f+4,event-9,patient,ss-10,smaller firm Bashneft,شرکت بزرگ نفتی روسی باچانف,,[],0,0,0,0,"[33, 35]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+0,event-18,anchor,ss-35,charged,اتهام زده,,[],0,0,0,0,"[2, 2]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,anchor,ss-19,payments,,پرداخت,['پرداخت'],4,4,21,27,"[9, 9]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,patient,ss-10,former Ipswich City Council chief executive Carl Wulff,,مدیر اجرایی شورای شهر اکستر ، کارل وولف,"['مدیر', 'اجرایی', 'شورای', 'شهر', 'اکستر', '،', 'کارل', 'وولف']",8,15,43,82,"[14, 21]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+1,event-2,patient,ss-3,his wife,,همسرش,['همسرش'],17,17,85,90,"[23, 24]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-31,agent,ss-11,CCC,,این شورا,"['این', 'شورا']",10,11,47,55,"[10, 10]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-31,patient,ss-9,the council,شورا,,[],0,0,0,0,"[14, 15]"
e9e13860-1bb9-5cfd-bda5-8dd3785e9c74+5,event-22,patient,ss-1,the 15th,پنجمین نفری,,[],0,0,0,0,"[20, 21]"
eeb788a4-3b63-554a-b05c-c8774bedee61+11,event-4,anchor,ss-26,sworn in,یاد,سوگند یاد کرد,"['سوگند', 'یاد', 'کرد']",13,15,58,71,"[9, 10]"
eeb788a4-3b63-554a-b05c-c8774bedee61+16,event-27,anchor,ss-49,gathered,گرد,گرد هم آمدیم,"['گرد', 'هم', 'آمدیم']",12,14,50,62,"[5, 5]"
eeb788a4-3b63-554a-b05c-c8774bedee61+17,event-11,agent,ss-9,journalists,,روزنامه نگارانی,"['روزنامه', 'نگارانی']",17,18,73,88,"[13, 13]"
f897f22c-45cf-5f41-a53b-6ec4e1594a09+5,event-24,anchor,ss-39,trials,دادگاه‌های,,[],0,0,0,0,"[4, 4]"
fb88fa3e-b00a-5125-9638-562fe9ee18cc+11,event-41,patient,ss-7,anyone else,,هیچ کس,"['هیچ', 'کس']",18,19,98,104,"[20, 21]"
fb88fa3e-b00a-5125-9638-562fe9ee18cc+5,event-28,agent,ss-13,he,شده‌است,,[],0,0,0,0,"[3, 3]"
